"Timestamp","What is your country of origin?","In which country do you currently reside ?","How old are you ?","Sex","What is your blood group ?","Are you in a relationship ?","What is the blood group of your partner ?","I like helping people.","I enjoy being part of a group.","I choose my words with care.","I take charge.","I get nervous talking to people I don't know. ","I like order.","I get upset easily.","I am modest about what I have achieved.","I seek adventure.","I enjoy being the center of attention. ","I prefer variety to routine.","I feel others' emotions.","I find it hard to trust people. ","I avoid arguing even when I disagree. ","I avoid being alone.","I am more of a detailed-oriented than a big picture person. ","I tend to focus on present realities rather than future possibilities. ","I would rather go with the flow than have a set schedule.","I often talk about my own feelings and emotions. ","After an exhausting week a fun party is just what I need.","I rarely feel insecure. "
"2020/01/25 12:52:28 PM PST","Kenya","USA","29","Female","O+","No","N/A","Strongly Agree","Strongly Agree","Agree","Agree","Disagree","Agree","Disagree","Strongly agree","Agree","Strongly disagree","Neutral","Strongly agree","Disagree","Neutral","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Neutral"
"2020/01/25 1:06:13 PM PST","Nigerian","Nigerian","26","Male","A+","Yes","A+","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Agree","Neutral","Neutral","Strongly agree","Strongly Agree","Neutral","Strongly agree","Agree","Agree","Agree","Neutral","Agree","Agree","Neutral","Agree","Agree","Agree"
"2020/01/25 1:06:41 PM PST","Kenya ","Kenya ","29","Female","O+","Yes","A+","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Disagree","Agree","Strongly Agree","Agree","Disagree","Agree","Agree","Agree","Strongly agree","Disagree","Agree","Disagree","Disagree","Disagree","Agree","Disagree","Strongly agree"
"2020/01/25 1:25:00 PM PST","India","India","27","Male","O+","Yes","B+","Neutral","Disagree","Disagree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Strongly disagree","Neutral","Strongly agree","Strongly agree","Strongly disagree","Agree","Neutral","Neutral","Disagree","Strongly disagree","Strongly disagree","Agree","Disagree","Agree"
"2020/01/25 1:51:44 PM PST","Côte d'Ivoire","Côte d'Ivoire","27 ","Female","O-","No","I don't know","Strongly Agree","Agree","Agree","Agree","Disagree","Strongly Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree"
"2020/01/25 2:25:31 PM PST","Canada","Canada","30","Male","B+","Yes","O+","Strongly Agree","Agree","Neutral","Agree","Agree","Neutral","Strongly disagree","Agree","Agree","Neutral","Disagree","Agree","Strongly disagree","Agree","Disagree","Agree","Agree","Disagree","Neutral","Disagree","Strongly agree"
"2020/01/25 2:42:57 PM PST","vietnam","canada","36","Male","O+","Yes","I don't know","Agree","Agree","Agree","Strongly Agree","Strongly disagree","Neutral","Disagree","Agree","Agree","Neutral","Agree","Agree","Neutral","Neutral","Disagree","Disagree","Strongly disagree","Disagree","Disagree","Disagree","Agree"
"2020/01/25 3:02:11 PM PST","Côte d’Ivoire","Canada","26","Male","B+","No","N/A","Strongly Agree","Strongly Agree","Agree","Neutral","Neutral","Strongly Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Neutral","Strongly agree","Agree","Neutral","Neutral","Agree","Disagree","Strongly agree","Neutral"
"2020/01/25 3:18:17 PM PST","India","India","34","Male","B+","Yes","I don't know","Agree","Agree","Agree","Neutral","Neutral","Strongly Agree","Neutral","Neutral","Neutral","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree"
"2020/01/25 4:04:54 PM PST","Côte d'Ivoire","Canada","35","Male","O+","Yes","B-","Strongly Agree","Agree","Strongly Agree","Agree","Neutral","Neutral","Disagree","Agree","Disagree","Disagree","Agree","Neutral","Agree","Agree","Disagree","Strongly agree","Strongly agree","Agree","Disagree","Strongly agree","Neutral"
"2020/01/25 5:09:13 PM PST","Nigeria","Canada","30","Male","O+","Yes","O+","Strongly Agree","Agree","Agree","Neutral","Strongly disagree","Agree","Agree","Agree","Strongly Agree","Strongly disagree","Agree","Strongly disagree","Disagree","Strongly disagree","Neutral","Agree","Strongly disagree","Strongly disagree","Agree","Disagree","Neutral"
"2020/01/25 6:35:02 PM PST","Mali","U.S","27","Female","AB+","Yes","O+","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Neutral","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Strongly agree","Disagree","Strongly agree","Agree","Disagree","Neutral","Disagree","Disagree"
"2020/01/25 6:41:53 PM PST","Guinea Conakry ","United States ","25","Female","A+","No","I don't know","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Neutral","Strongly disagree","Strongly agree","Strongly Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree"
"2020/01/25 6:47:04 PM PST","United States ","United states","27","Female","A+","No","I don't know","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly disagree","Neutral","Disagree","Strongly agree","Strongly Agree","Strongly agree","Strongly agree","Strongly agree","Neutral","Strongly agree","Neutral","Agree","Neutral","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree"
"2020/01/25 6:49:36 PM PST","India","India ","24","Female","B+","Yes","B+","Neutral","Neutral","Disagree","Agree","Disagree","Strongly disagree","Strongly disagree","Neutral","Agree","Agree","Neutral","Agree","Agree","Strongly disagree","Agree","Agree","Neutral","Disagree","Agree","Agree","Disagree"
"2020/01/25 7:55:31 PM PST","Nigeria","United States","28","Male","O+","Yes","I don't know","Strongly Agree","Neutral","Neutral","Disagree","Strongly disagree","Agree","Neutral","Agree","Agree","Neutral","Neutral","Agree","Agree","Neutral","Disagree","Agree","Agree","Agree","Neutral","Neutral","Strongly agree"
"2020/01/25 8:28:38 PM PST","Nigeria","Nigeria","24","Male","B+","No","N/A","Agree","Agree","Agree","Agree","Neutral","Agree","Disagree","Agree","Neutral","Disagree","Agree","Agree","Disagree","Agree","Neutral","Agree","Disagree","Disagree","Neutral","Agree","Disagree"
"2020/01/25 8:30:20 PM PST","Canada","Canada","29","Female","B+","Yes","I don't know","Strongly Agree","Strongly Agree","Disagree","Agree","Strongly agree","Agree","Agree","Agree","Strongly Agree","Neutral","Neutral","Strongly agree","Neutral","Strongly agree","Neutral","Disagree","Disagree","Disagree","Neutral","Neutral","Strongly disagree"
"2020/01/25 8:36:21 PM PST","CÔTE D’IVOIRE 🇨🇮 ","United State USA 🇺🇸 ","31","Male","O+","Yes","O+","Agree","Agree","Agree","Agree","Neutral","Neutral","Disagree","Agree","Neutral","Disagree","Agree","Agree","Agree","Neutral","Agree","Agree","Disagree","Agree","Disagree","Agree","Agree"
"2020/01/25 8:39:13 PM PST","South Africa","South Africa","28","Male","B+","Yes","I don't know","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Neutral","Disagree","Strongly agree","Strongly Agree","Neutral","Strongly agree","Strongly agree","Agree","Agree","Disagree","Neutral","Neutral","Strongly agree","Disagree","Agree","Agree"
"2020/01/25 8:51:43 PM PST","Kenya","Kenya","31","Female","O+","Yes","O+","Strongly Agree","Strongly Agree","Agree","Neutral","Agree","Strongly Agree","Agree","Agree","Agree","Disagree","Neutral","Agree","Agree","Agree","Disagree","Strongly agree","Neutral","Disagree","Agree","Disagree","Disagree"
"2020/01/25 8:59:25 PM PST","Canada","Canada","25","Female","O+","Yes","I don't know","Agree","Agree","Agree","Agree","Disagree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree"
